Player,Pos,Squad,Age,90s,Sh,SoT,SoT/90,Primary_Position,Position_Group,Player_ID,IQR_Lower_Bound,IQR_Upper_Bound,Potential_Outlier
Cristian Volpato,MF,au Australia,22,1.8,4,1,0.56,MF,Midfielder,PL0572,-0.96,1.6,False
Elye Wahi,FW,ci Côte d'Ivoire,23,1.2,3,2,1.64,FW,Forward,PL0573,-1.8824999999999998,3.1374999999999997,False
Paul Wanner,MF,at Austria,20,2.6,1,0,0.0,MF,Midfielder,PL0574,-0.96,1.6,False
Cecilio Waterman,FW,pa Panama,35,0.8,2,1,1.18,FW,Forward,PL0575,-1.8824999999999998,3.1374999999999997,False
Ollie Watkins,"FW,MF",eng England,30,0.6,1,0,0.0,FW,Forward,PL0576,-1.8824999999999998,3.1374999999999997,False
Timothy Weah,MF,us USA,26,0.8,2,0,0.0,MF,Midfielder,PL0577,-0.96,1.6,False
Wout Weghorst,FW,nl Netherlands,33,0.6,0,0,0.0,FW,Forward,PL0578,-1.8824999999999998,3.1374999999999997,False
Iñaki Williams,"MF,FW",gh Ghana,31,1.4,3,0,0.0,MF,Midfielder,PL0579,-0.96,1.6,False
Nico Williams,MF,es Spain,23,1.3,4,2,1.59,MF,Midfielder,PL0580,-0.96,1.6,False
Patrick Wimmer,"FW,MF",at Austria,25,0.2,1,0,0.0,FW,Forward,PL0581,-1.8824999999999998,3.1374999999999997,False
Florian Wirtz,MF,de Germany,23,4.0,10,1,0.25,MF,Midfielder,PL0582,-0.96,1.6,False
Yoane Wissa,FW,cd Congo DR,29,4.0,11,3,0.75,FW,Forward,PL0583,-1.8824999999999998,3.1374999999999997,False
Nick Woltemade,"FW,MF",de Germany,24,0.4,2,0,0.0,FW,Forward,PL0584,-1.8824999999999998,3.1374999999999997,False
Chris Wood,FW,nz New Zealand,34,3.0,5,2,0.67,FW,Forward,PL0585,-1.8824999999999998,3.1374999999999997,False
Granit Xhaka,MF,ch Switzerland,33,6.7,9,2,0.3,MF,Midfielder,PL0586,-0.96,1.6,False
Kevin Yakob,MF,iq Iraq,25,0.3,1,0,0.0,MF,Midfielder,PL0587,-0.96,1.6,False
Lamine Yamal,"MF,FW",es Spain,18,6.8,27,12,1.76,MF,Midfielder,PL0588,-0.96,1.6,True
Yannick,MF,cv Cabo Verde,30,0.4,1,0,0.0,MF,Midfielder,PL0589,-0.96,1.6,False
Gessime Yassine,MF,ma Morocco,20,0.9,2,1,1.13,MF,Midfielder,PL0590,-0.96,1.6,False
John Yeboah,MF,ec Ecuador,25,3.5,8,3,0.87,MF,Midfielder,PL0591,-0.96,1.6,False
Tete Yengi,FW,au Australia,25,0.3,1,1,3.75,FW,Forward,PL0592,-1.8824999999999998,3.1374999999999997,True
Kenan Y?ld?z,MF,tr Türkiye,21,2.4,14,1,0.41,MF,Midfielder,PL0593,-0.96,1.6,False
Caleb Yirenkyi,MF,gh Ghana,20,2.9,2,1,0.34,MF,Midfielder,PL0594,-0.96,1.6,False
Seol Young-woo,MF,kr Korea Republic,27,2.8,2,0,0.0,MF,Midfielder,PL0595,-0.96,1.6,False
Aria Yousefi,MF,ir IR Iran,24,0.5,1,1,2.0,MF,Midfielder,PL0596,-0.96,1.6,True
Ali Yousif,FW,iq Iraq,30,0.4,0,0,0.0,FW,Forward,PL0597,-1.8824999999999998,3.1374999999999997,False
?smail Yüksek,MF,tr Türkiye,27,1.5,5,0,0.0,MF,Midfielder,PL0598,-0.96,1.6,False
Warren Zaïre-Emery,MF,fr France,20,1.2,1,0,0.0,MF,Midfielder,PL0599,-0.96,1.6,False
Jaroslav Zelený,MF,cz Czechia,33,1.4,1,0,0.0,MF,Midfielder,PL0600,-0.96,1.6,False
Alejandro Zendejas,"FW,MF",us USA,28,0.2,1,0,0.0,FW,Forward,PL0601,-1.8824999999999998,3.1374999999999997,False
Besfort Zeneli,MF,se Sweden,23,0.7,1,1,1.5,MF,Midfielder,PL0602,-0.96,1.6,False
Ramiz Zerrouki,MF,dz Algeria,28,1.2,0,0,0.0,MF,Midfielder,PL0603,-0.96,1.6,False
Mostafa Ziko,"FW,MF",eg Egypt,29,4.1,8,3,0.73,FW,Forward,PL0604,-1.8824999999999998,3.1374999999999997,False
Zizo,MF,eg Egypt,30,0.6,3,1,1.61,MF,Midfielder,PL0605,-0.96,1.6,True
Martín Zubimendi,MF,es Spain,27,0.2,0,0,0.0,MF,Midfielder,PL0606,-0.96,1.6,False
Themba Zwane,"FW,MF",za South Africa,36,0.3,0,0,0.0,FW,Forward,PL0607,-1.8824999999999998,3.1374999999999997,False
Martin Ødegaard,MF,no Norway,27,5.2,9,3,0.57,MF,Midfielder,PL0608,-0.96,1.6,False
